date,cases,new_cases,cases_per_10k,cases_last_14_days,avg_cases_last_14_days,population
2020-03-16,0,0,0,0,0,36484
2020-03-17,0,0,0,0,0,36484
2020-03-18,0,0,0,0,0,36484
2020-03-19,0,0,0,0,0,36484
2020-03-20,0,0,0,0,0,36484
2020-03-21,0,0,0,0,0,36484
2020-03-22,0,0,0,0,0,36484
2020-03-23,0,0,0,0,0,36484
2020-03-24,0,0,0,0,0,36484
2020-03-25,0,0,0,0,0,36484
2020-03-26,0,0,0,0,0,36484
2020-03-27,1,1,0,1,0,36484
2020-03-28,1,0,0,1,0,36484
2020-03-29,1,0,0,1,0,36484
2020-03-30,1,0,0,1,0,36484
2020-03-31,2,1,1,2,0,36484
2020-04-01,3,1,1,3,0,36484
2020-04-02,3,0,1,3,0,36484
2020-04-03,4,1,1,4,0,36484
2020-04-04,3,-1,1,3,0,36484
2020-04-05,5,2,1,5,0,36484
2020-04-06,6,1,2,6,0,36484
2020-04-07,6,0,2,6,0,36484
2020-04-08,8,2,2,8,1,36484
2020-04-09,8,0,2,8,1,36484
2020-04-10,10,2,3,9,1,36484
2020-04-11,10,0,3,9,1,36484
2020-04-12,12,2,3,11,1,36484
2020-04-13,12,0,3,11,1,36484
2020-04-14,13,1,4,11,1,36484
2020-04-15,13,0,4,10,1,36484
2020-04-16,13,0,4,10,1,36484
2020-04-17,14,1,4,10,1,36484
2020-04-18,15,1,4,12,1,36484
2020-04-19,15,0,4,10,1,36484
2020-04-20,16,1,4,10,1,36484
2020-04-21,19,3,5,13,1,36484
2020-04-22,21,2,6,13,1,36484
2020-04-23,21,0,6,13,1,36484
2020-04-24,22,1,6,12,1,36484
2020-04-25,22,0,6,12,1,36484
2020-04-26,22,0,6,10,1,36484
2020-04-27,22,0,6,10,1,36484
2020-04-28,22,0,6,9,1,36484
2020-04-29,24,2,7,11,1,36484
2020-04-30,24,0,7,11,1,36484
2020-05-01,24,0,7,10,1,36484
2020-05-02,24,0,7,9,1,36484
2020-05-03,24,0,7,9,1,36484
2020-05-04,24,0,7,8,1,36484
2020-05-05,27,3,7,8,1,36484
2020-05-06,27,0,7,6,0,36484
2020-05-07,27,0,7,6,0,36484
2020-05-08,28,1,8,6,0,36484
2020-05-09,29,1,8,7,0,36484
2020-05-10,29,0,8,7,0,36484
